index,transmitted_packet,received_packet,transmitted_byte,received_byte,dstip,srcip,dstport,srcport,protocol,src_to_dst_flow_duration,dst_to_src_flow_duration,max_ttl,min_ttl,max_ip_pkt_len,min_ip_pkt_len,num_of_ip_totalLen_up_to_128_bytes,num_of_ip_totalLen_128_to_256_bytes,num_of_ip_totalLen_256_to_512_bytes,num_of_ip_totalLen_512_to_1024_bytes,num_of_ip_totalLen_1024_to_1514_bytes,max_tcp_win_src_to_dst,max_tcp_win_dst_to_src
208,2,0,3000,0,10.240.128.73,130.102.79.36,58316,80,6,33691676,0,64,0,1500,0,0,0,0,0,2,2172,0
436,2,0,3000,0,130.102.79.45,10.248.33.24,63979,80,6,33798882,0,64,0,1500,0,0,0,0,0,2,1728,0
539,0,2,0,3000,130.102.79.36,10.240.128.73,80,58316,6,0,33691676,0,0,0,0,0,0,0,0,0,0,2172
860,0,2,0,3000,74.201.86.29,10.33.3.51,443,61907,6,0,33796515,0,0,0,0,0,0,0,0,0,0,1344
861,0,1,0,40,104.244.43.231,10.33.8.45,443,49853,6,0,16901355,0,0,0,0,0,0,0,0,0,0,60
1005,0,1,0,1500,10.248.32.95,130.102.79.45,80,60764,6,0,16898223,0,0,0,0,0,0,0,0,0,0,1728
1030,0,1,0,85,130.102.79.52,172.16.156.75,62775,161,17,0,16825161,0,0,0,0,0,0,0,0,0,0,0
1806,1,0,1500,0,130.102.79.45,10.248.40.153,57193,80,6,16898687,0,64,0,1500,0,0,0,0,0,1,946,0
1889,0,1,0,1500,10.248.35.37,130.102.79.45,80,56845,6,0,16893448,0,0,0,0,0,0,0,0,0,0,1728
1967,2,0,3000,0,10.33.3.51,74.201.86.29,61907,443,6,33796515,0,241,0,1500,0,0,0,0,0,2,1344,0
2215,1,0,1500,0,10.240.128.29,130.102.79.36,55558,80,6,16848608,0,64,0,1500,0,0,0,0,0,1,2172,0
2302,0,9,0,13500,130.102.79.36,10.240.129.106,80,39504,6,0,151444555,0,0,0,0,0,0,0,0,0,0,2172
2334,1,0,1500,0,130.102.79.45,10.248.35.37,56845,80,6,16893448,0,64,0,1500,0,0,0,0,0,1,1728,0
2602,2,11,3000,572,10.240.129.105,130.102.79.36,59390,80,6,33672057,185794357,64,0,1500,0,0,0,0,0,2,2030,4967
2724,1,0,40,0,10.33.1.48,130.102.76.35,61595,445,6,16824614,0,63,0,40,0,1,0,0,0,0,64240,0
2843,6,0,9000,0,10.33.2.115,130.102.79.36,56235,2706,6,100949105,0,63,0,1500,0,0,0,0,0,6,2172,0
3072,0,2,0,3000,130.102.79.36,10.240.128.78,80,47426,6,0,33698615,0,0,0,0,0,0,0,0,0,0,2172
3531,2,0,3000,0,10.240.128.78,130.102.79.36,47426,80,6,33698615,0,64,0,1500,0,0,0,0,0,2,2172,0
3552,1,0,85,0,172.16.156.75,130.102.79.52,161,62775,17,16825161,0,254,0,85,0,1,0,0,0,0,0,0
3581,0,1,0,40,43.243.117.21,10.33.4.140,80,64939,6,0,16848890,0,0,0,0,0,0,0,0,0,0,8192
3714,0,1,0,40,172.217.1.131,10.240.165.168,80,6732,6,0,16893025,0,0,0,0,0,0,0,0,0,0,345
3846,0,1,0,1500,10.248.40.153,130.102.79.45,80,57193,6,0,16898687,0,0,0,0,0,0,0,0,0,0,946
4120,0,1,0,1500,10.248.40.153,130.102.79.14,80,36149,6,0,16846225,0,0,0,0,0,0,0,0,0,0,946
4148,11,0,572,0,130.102.79.36,10.240.129.105,80,59390,6,185794357,0,64,0,52,0,11,0,0,0,0,4967,0
4560,0,1,0,117,130.102.76.139,10.33.8.237,445,65527,6,0,16889486,0,0,0,0,0,0,0,0,0,0,510
4561,0,2,0,3000,130.102.72.25,10.33.22.80,22,59089,6,0,33672057,0,0,0,0,0,0,0,0,0,0,2030
4673,0,1,0,40,130.102.76.35,10.33.1.48,445,61595,6,0,16824614,0,0,0,0,0,0,0,0,0,0,64240
4903,0,2,0,3000,10.248.33.24,130.102.79.45,80,63979,6,0,33798882,0,0,0,0,0,0,0,0,0,0,1728
4905,1,0,52,0,130.102.79.36,10.240.129.109,80,60066,6,16894289,0,64,0,52,0,1,0,0,0,0,4450,0
4949,1,0,40,0,10.240.165.168,172.217.1.131,6732,80,6,16893025,0,51,0,40,0,1,0,0,0,0,345,0
4968,0,6,0,9000,130.102.76.91,130.102.72.25,2049,1012,6,0,100945406,0,0,0,0,0,0,0,0,0,0,32804
4972,1,0,1500,0,130.102.79.14,10.248.40.153,36149,80,6,16846225,0,64,0,1500,0,0,0,0,0,1,946,0
5323,1,0,40,0,10.33.8.45,104.244.43.231,49853,443,6,16901355,0,57,0,40,0,1,0,0,0,0,60,0
5534,6,0,9000,0,130.102.72.25,130.102.76.91,1012,2049,6,100945406,0,64,63,1500,0,0,0,0,0,6,32804,0
5558,9,0,13500,0,10.240.129.110,130.102.79.36,36826,80,6,152012981,0,64,0,1500,0,0,0,0,0,9,2172,0
5636,1,0,52,0,130.102.76.98,10.240.128.190,445,49810,6,16823655,0,63,0,52,0,1,0,0,0,0,5006,0
6008,0,1,0,1500,130.102.79.36,10.240.128.29,80,55558,6,0,16848608,0,0,0,0,0,0,0,0,0,0,2172
6069,1,0,1500,0,130.102.79.45,10.248.32.95,60764,80,6,16898223,0,64,0,1500,0,0,0,0,0,1,1728,0
6993,1,0,40,0,130.102.76.139,10.33.10.42,8181,52399,6,16888350,0,128,0,40,0,1,0,0,0,0,1494,0
7009,9,0,13500,0,10.240.129.106,130.102.79.36,39504,80,6,151444555,0,64,0,1500,0,0,0,0,0,9,2172,0
7090,0,9,0,13500,130.102.79.36,10.240.129.110,80,36826,6,0,152012981,0,0,0,0,0,0,0,0,0,0,2172
7217,1,0,117,0,10.33.8.237,130.102.76.139,65527,445,6,16889486,0,124,0,117,0,1,0,0,0,0,510,0
7364,1,0,40,0,10.33.4.140,43.243.117.21,64939,80,6,16848890,0,116,0,40,0,1,0,0,0,0,8192,0
7405,0,6,0,9000,130.102.79.36,10.33.2.115,2706,56235,6,0,100949105,0,0,0,0,0,0,0,0,0,0,2172
7535,0,1,0,52,10.240.128.190,130.102.76.98,49810,445,6,0,16823655,0,0,0,0,0,0,0,0,0,0,5006
7748,0,1,0,40,10.33.10.42,130.102.76.139,52399,8181,6,0,16888350,0,0,0,0,0,0,0,0,0,0,1494
7931,0,1,0,52,10.240.129.109,130.102.79.36,60066,80,6,0,16894289,0,0,0,0,0,0,0,0,0,0,4450
